class,a,b,hamming
related,gravity,mass,17
related,star,planet,33
related,dog,animal,18
related,red,color,5
related,fire,heat,33
related,water,liquid,29
related,book,page,6
related,sun,day,33
related,moon,night,5
related,tree,forest,33
related,car,wheel,33
related,apple,fruit,40
related,doctor,patient,18
related,river,flow,38
related,bird,fly,33
related,ocean,wave,33
related,mountain,peak,8
related,snow,cold,34
related,music,song,40
related,light,bulb,33
related,baby,child,33
related,key,lock,20
related,bread,wheat,6
related,horse,saddle,17
related,gun,bullet,40
related,pen,write,31
related,bee,honey,32
related,shoe,foot,6
related,door,room,3
related,window,glass,32
related,clock,time,21
related,map,direction,32
related,piano,music,21
related,pencil,draw,34
related,rain,wet,37
related,desert,sand,34
related,knife,cut,35
related,table,chair,35
related,forest,leaf,34
related,bear,cave,31
related,cow,milk,35
related,chicken,egg,21
related,knee,leg,19
related,ankle,foot,5
related,eye,vision,34
related,ear,sound,30
related,nose,smell,16
related,mouth,taste,18
related,hand,finger,32
related,heart,blood,19
related,brain,thought,30
related,lung,breath,36
related,stomach,food,34
related,skin,touch,7
related,bone,skeleton,33
related,tongue,lick,38
related,ship,sea,4
related,engine,motor,35
related,cup,coffee,17
related,spoon,soup,20
related,fork,pasta,40
related,plate,dinner,33
related,pan,cook,38
related,oven,bake,18
related,fridge,cold,33
related,ice,freeze,28
related,smoke,fire,39
related,ash,burn,18
related,candle,wax,18
related,match,spark,37
related,hammer,nail,34
related,saw,wood,6
related,drill,hole,34
related,screw,twist,34
related,bolt,nut,7
related,chain,link,36
related,rope,knot,37
related,net,fish,30
related,hook,bait,19
related,boat,row,18
related,sail,wind,30
related,anchor,harbor,31
related,shore,beach,20
related,cliff,fall,35
related,valley,low,40
related,hill,climb,35
related,summit,top,38
related,cave,dark,4
related,tunnel,underground,36
overlap,gravity,granite,0
overlap,star,stare,0
overlap,star,starch,0
overlap,car,card,0
overlap,car,carbon,0
overlap,cat,cap,1
overlap,cat,cane,18
overlap,cat,case,31
overlap,dog,does,19
overlap,red,read,38
overlap,red,reed,37
overlap,moon,mood,0
overlap,moon,moor,0
overlap,tree,trek,0
overlap,tree,trend,0
overlap,sun,sung,0
overlap,book,boot,0
overlap,book,boost,0
overlap,fire,firm,0
overlap,fire,first,0
overlap,water,wafer,17
overlap,water,wager,33
overlap,bird,birch,0
overlap,bird,birth,0
overlap,horse,horde,0
overlap,horse,horror,35
overlap,pen,pet,18
overlap,pen,pew,38
overlap,key,keg,18
overlap,gun,gum,31
overlap,gun,gust,39
overlap,bread,breed,0
overlap,bread,breath,34
overlap,breath,breach,4
overlap,snow,snore,0
overlap,snow,snob,0
overlap,glass,glade,0
overlap,glass,gland,0
overlap,glass,glare,0
overlap,light,litmus,28
overlap,rain,rang,30
overlap,rain,rank,30
overlap,rain,range,30
overlap,bear,beat,0
overlap,bear,bead,0
overlap,bear,beak,0
overlap,knee,knew,0
overlap,knife,knight,0
overlap,knife,knit,0
overlap,mouth,mound,0
overlap,mouth,mourn,0
overlap,nose,nosy,0
overlap,nose,nominal,37
overlap,bone,bond,0
overlap,bone,bonus,0
overlap,hair,haiku,0
overlap,hair,hail,0
overlap,ship,shin,0
overlap,ship,shift,0
overlap,ship,shirt,0
overlap,engine,engulf,0
overlap,engine,engrave,28
overlap,bike,bilk,31
overlap,bike,bind,39
overlap,map,mar,18
overlap,map,mash,32
overlap,ski,skim,0
overlap,ski,skin,0
overlap,ski,skill,0
overlap,boat,boast,0
overlap,boat,boa,0
overlap,hill,hilt,0
overlap,hill,hilum,0
overlap,shore,shorn,0
overlap,shore,short,0
overlap,candle,candor,0
overlap,candle,candy,0
overlap,match,math,0
overlap,match,matte,0
overlap,hammer,hamper,4
overlap,drill,drilling,31
overlap,rope,rove,17
overlap,rope,rosy,32
overlap,fork,form,0
overlap,fork,fort,0
overlap,plate,plait,0
overlap,plate,plait,0
